customer_id,age,tenure_months,region,subscription_tier,num_purchases_quarter,avg_monthly_spend_gbp,returns_per_purchase,last_login_days_ago,avg_review_polarity,support_tickets_quarter,churned
100066,75,57,Scotland,free,5,42.46,0.307,,-0.059,1,1
100067,41,38,London,premium,3,54.39,0.221,1.0,-0.11,3,0
100068,22,22,Ireland,basic,7,38.57,0.211,,0.316,0,0
100069,47,44,London,free,5,56.03,0.202,59.0,,1,0
100070,68,17,London,free,5,37.0,0.131,44.0,0.62,0,0
100071,29,14,Scotland,premium,5,267.17,0.102,138.0,0.436,0,0
100072,47,26,London,premium,5,71.89,0.075,5.0,,1,0
100073,26,65,South,free,5,81.9,0.099,42.0,-0.189,0,0
100074,61,56,South,free,12,48.49,0.299,4.0,0.151,0,0
100075,47,13,London,free,5,19.44,0.088,1.0,-0.052,0,0
100076,38,41,South,basic,1,21.23,0.041,108.0,,0,0
100077,32,64,South,premium,7,48.33,0.179,4.0,,1,0
100078,53,69,South,free,6,47.23,0.064,14.0,0.529,0,0
100079,60,55,Scotland,free,7,71.77,0.097,31.0,0.23,1,0
100080,77,9,London,free,9,62.17,0.039,4.0,0.687,1,0
100081,45,17,South,free,7,39.28,0.013,27.0,0.543,1,0
100082,28,15,Ireland,free,6,349.11,0.083,6.0,,3,0
100083,70,11,London,basic,6,69.64,0.422,2.0,-0.421,1,1
100084,57,12,North,free,8,40.08,0.137,32.0,,0,0
100085,62,23,Ireland,free,6,41.97,0.207,5.0,-0.26,1,1
100086,24,40,South,basic,8,90.46,0.026,52.0,0.667,1,0
100087,37,29,North,premium,7,46.66,0.07,,0.086,2,0
100088,66,30,Scotland,free,8,106.39,0.052,1.0,,1,0
100089,70,17,London,basic,7,51.4,0.352,37.0,0.296,0,0
100090,45,11,South,basic,10,41.68,0.162,21.0,0.099,1,0
100091,68,72,North,basic,5,19.96,0.25,42.0,-0.053,1,0
100092,71,43,Wales,free,8,112.99,0.011,69.0,0.296,2,0
100093,42,16,Wales,free,9,25.52,0.193,12.0,,1,1
100094,74,59,London,basic,6,92.32,0.023,10.0,0.253,1,0
100095,36,60,Ireland,free,8,35.94,0.094,32.0,-0.428,1,0
100096,33,70,Wales,free,2,99.71,0.085,30.0,-0.533,1,0
100097,60,11,South,free,6,134.05,0.029,13.0,0.205,1,0
100098,58,46,South,free,9,32.22,0.151,19.0,0.015,0,0
100099,26,71,Scotland,free,7,30.32,0.336,56.0,-0.35,0,0
100100,70,58,North,free,8,257.98,0.102,18.0,0.544,0,0
100101,30,16,Ireland,free,10,75.28,0.017,34.0,,1,0
100102,68,65,South,basic,4,90.54,0.149,86.0,,2,1
100103,18,30,South,free,3,21.18,0.024,26.0,0.485,1,0
100104,68,35,Wales,free,8,26.77,0.065,1.0,-0.36,0,0
100105,67,40,Ireland,basic,9,63.32,0.08,24.0,0.098,2,0
100106,67,56,South,free,6,41.86,0.071,65.0,-0.15,1,0
100107,59,8,London,premium,4,27.02,0.13,5.0,0.377,2,0
100108,47,39,North,free,9,66.38,0.189,13.0,,2,0
100109,62,59,London,free,6,16.51,0.341,4.0,,4,0
100110,35,40,London,basic,6,67.52,0.203,8.0,0.257,0,0
100111,67,20,North,free,9,29.07,0.128,26.0,0.054,2,0
100112,53,4,London,free,4,89.66,0.263,3.0,,3,1
100113,46,40,Scotland,basic,7,58.6,0.203,209.0,-0.19,0,0
100114,49,51,South,premium,5,79.01,0.113,21.0,-0.537,1,0
100115,53,40,South,premium,7,139.48,0.207,10.0,,2,0
100116,20,71,South,basic,6,34.21,0.199,1.0,,0,0
100117,26,43,Wales,basic,7,27.52,0.172,32.0,,2,0
100118,33,37,London,free,4,126.6,0.01,41.0,0.339,1,0
100119,25,4,London,free,3,178.55,0.063,37.0,-0.274,2,1
100120,45,40,Scotland,free,8,133.89,0.053,6.0,-0.234,3,0
100121,60,12,Ireland,premium,10,10.68,0.353,17.0,0.5,3,1
100122,59,52,South,free,6,83.21,0.162,117.0,-0.23,0,0
100123,47,11,North,free,1,28.39,0.01,1.0,0.069,2,0
100124,71,66,North,free,8,102.22,0.239,23.0,-0.206,0,0
100125,53,22,South,free,8,45.74,0.241,29.0,0.611,0,0
100126,22,31,London,free,5,43.15,0.061,174.0,,0,0
100127,66,10,Scotland,premium,6,41.48,0.13,14.0,0.349,1,0
100128,54,15,North,free,3,35.88,0.177,1.0,-0.174,0,0
100129,57,67,South,basic,4,22.3,0.088,8.0,0.358,2,0
100130,53,20,London,free,11,41.77,0.161,13.0,0.353,1,0
100131,52,37,South,free,8,59.85,0.024,13.0,,0,0
100132,23,71,North,free,6,155.51,0.149,84.0,0.649,1,0
100133,53,45,London,free,13,78.14,0.185,,0.846,0,0
100134,68,3,North,free,11,44.58,0.084,48.0,-1.0,2,0
100135,37,26,North,basic,10,42.33,0.387,35.0,0.089,1,0
100136,55,28,London,basic,6,6.75,0.21,27.0,-0.043,1,0
100137,19,20,London,free,3,41.5,0.272,24.0,,1,0
100138,39,17,North,free,7,59.98,0.095,2.0,0.518,0,0
100139,45,36,North,free,9,35.58,0.007,115.0,-0.395,2,0
100140,79,27,London,premium,11,37.76,0.271,23.0,0.139,4,1
100141,31,21,North,free,10,9.61,0.066,,-0.097,1,0
100142,35,30,Scotland,basic,5,20.63,0.092,,0.346,2,0
100143,43,25,London,free,12,25.28,0.045,63.0,0.551,1,0
100144,80,16,Wales,free,6,32.91,0.365,118.0,-0.223,1,1
100145,71,33,Scotland,premium,6,6.5,0.281,3.0,0.153,0,0
100146,20,68,North,free,5,47.8,0.299,22.0,-0.197,0,0
100147,32,36,South,free,7,51.26,0.052,3.0,-0.414,1,0
100148,69,43,London,free,6,72.8,0.141,8.0,0.563,0,0
100149,21,71,Wales,free,11,40.41,0.056,3.0,,3,0
100150,71,44,London,basic,4,97.25,0.035,13.0,,0,0
100151,35,16,London,free,3,190.39,0.064,19.0,0.545,2,0
100152,75,29,London,basic,7,20.38,0.037,46.0,-0.279,1,0
100153,36,35,Wales,free,5,22.79,0.037,116.0,0.434,3,0
100154,45,34,Wales,basic,8,69.03,0.174,34.0,-0.206,0,0
100155,59,10,Ireland,free,4,82.29,0.336,9.0,0.159,1,0
100156,25,7,Wales,basic,4,23.26,0.231,,0.108,1,1
100157,53,25,London,basic,10,177.82,0.227,44.0,-0.702,0,1
100158,49,66,London,basic,3,28.23,0.135,5.0,0.032,0,0
100159,67,52,South,free,3,45.99,0.084,2.0,,1,1
100160,80,61,Wales,premium,3,87.12,0.328,,-0.257,3,0
100161,59,12,South,basic,6,149.09,0.269,4.0,,5,0
100162,43,30,London,free,6,27.2,0.149,38.0,0.522,1,0
100163,43,42,Wales,free,9,91.72,0.032,24.0,0.119,3,0
100164,44,31,Scotland,free,2,50.56,0.113,5.0,-0.032,1,0
100165,69,30,North,basic,5,19.54,0.021,3.0,,0,1
100166,38,26,South,premium,7,35.56,0.195,16.0,-0.126,1,0
100167,28,3,Wales,basic,3,23.5,0.13,7.0,,2,1
100168,39,62,Scotland,basic,3,88.02,0.134,14.0,0.041,5,1
100169,19,68,North,free,7,20.15,0.207,13.0,,1,0
100170,24,5,London,free,2,74.07,0.12,,,1,0
100171,23,30,London,premium,7,53.98,0.033,90.0,,1,0
100172,66,37,North,free,6,68.84,0.042,50.0,,2,0
100173,63,57,Scotland,basic,8,54.37,0.125,64.0,,0,1
100174,61,72,South,basic,6,29.43,0.248,23.0,0.153,0,0
100175,47,30,North,basic,6,71.05,0.127,1.0,0.304,1,0
100176,63,54,South,free,3,59.51,0.019,13.0,0.675,0,0
100177,28,68,Wales,basic,6,37.9,0.105,25.0,0.486,3,0
100178,74,60,Wales,premium,4,326.75,0.023,6.0,,2,0
100179,49,21,London,premium,4,23.76,0.1,13.0,0.275,1,0
100180,77,59,Scotland,free,3,77.49,0.092,72.0,,0,0
100181,27,30,London,free,4,82.38,0.063,10.0,0.462,3,0
100182,49,1,Scotland,free,8,44.46,0.041,,-0.669,1,0
100183,61,55,London,basic,15,64.73,0.279,24.0,-0.823,1,1
100184,49,60,North,premium,5,74.37,0.18,13.0,,2,0
100185,46,25,London,free,2,51.69,0.165,104.0,0.232,3,0
100186,28,32,North,free,6,36.82,0.239,5.0,,1,0
100187,42,26,London,free,7,51.47,0.356,19.0,-0.158,2,1
100188,33,8,London,basic,2,35.62,0.071,1.0,-0.372,0,0
100189,36,72,North,free,5,142.19,0.061,27.0,-0.033,1,0
100190,61,1,Ireland,basic,5,100.48,0.108,13.0,-0.471,0,0
100191,57,40,London,basic,4,57.42,0.057,45.0,-0.253,1,0
100192,56,1,Wales,free,5,32.34,0.104,3.0,0.444,0,1
100193,40,50,North,free,7,43.61,0.318,16.0,,1,1
100194,78,65,Scotland,basic,7,36.02,0.226,31.0,-0.048,1,0
100195,23,46,South,premium,5,50.82,0.231,3.0,,1,0
100196,39,44,London,premium,5,17.69,0.214,,-0.051,1,0
100197,25,60,South,premium,6,36.84,0.054,48.0,0.214,0,0
100198,39,71,Scotland,premium,9,25.24,0.011,5.0,0.31,2,0
100199,78,62,Ireland,free,6,33.28,0.077,10.0,-0.306,3,0
100200,41,16,London,basic,10,195.72,0.366,22.0,0.191,0,0
100201,75,41,Scotland,free,5,43.39,0.134,5.0,,3,0
100202,49,59,London,free,3,62.31,0.102,17.0,-0.135,0,0
100203,62,21,Wales,basic,9,46.5,0.332,6.0,0.284,2,1
100204,46,49,London,free,3,84.5,0.31,28.0,,2,0
100205,34,1,South,free,7,41.43,0.21,29.0,0.136,0,1
100206,66,64,London,basic,3,37.05,0.071,38.0,0.434,0,0
100207,79,44,North,premium,2,33.7,0.302,,0.265,0,0
100208,34,54,London,premium,9,32.4,0.234,14.0,,2,0
100209,67,60,London,free,2,156.18,0.093,6.0,,3,0
100210,34,15,London,free,1,71.26,0.044,15.0,,0,0
100211,63,32,Scotland,free,8,35.43,0.195,4.0,0.473,1,0
100212,67,62,South,basic,6,98.18,0.065,6.0,,0,0
100213,46,12,Scotland,free,3,121.96,0.086,11.0,0.257,0,0
100214,64,60,London,basic,4,33.12,0.333,9.0,0.489,0,0
100215,35,21,London,free,6,44.45,0.302,1.0,0.402,1,0
100216,22,42,London,free,6,54.9,0.141,16.0,-0.041,2,0
100217,24,37,North,premium,6,31.84,0.092,,0.069,2,0
100218,46,50,London,basic,4,38.6,0.3,32.0,0.247,2,0
100219,74,61,London,free,5,38.63,0.144,28.0,,1,0
100220,26,25,London,free,4,49.25,0.285,44.0,-0.157,2,0
100221,46,12,South,free,7,464.89,0.095,13.0,-0.034,0,0
100222,62,30,Wales,free,6,29.02,0.004,36.0,0.574,1,0
100223,30,44,London,free,7,19.49,0.183,12.0,,3,0
100224,63,54,London,free,5,108.31,0.137,53.0,0.252,4,0
100225,37,54,London,free,9,62.07,0.124,1.0,0.269,2,0
100226,68,24,London,free,10,44.03,0.012,9.0,0.753,0,0
100227,54,68,London,basic,3,100.09,0.126,7.0,0.873,0,0
100228,52,6,North,basic,7,23.18,0.243,4.0,-0.19,1,1
100229,29,8,South,basic,5,68.05,0.136,11.0,,0,0
100230,47,1,Wales,free,3,47.86,0.217,12.0,-0.047,4,1
100231,71,67,Ireland,basic,5,55.93,0.121,1.0,,1,0
100232,19,13,North,free,5,56.55,0.123,23.0,,2,0
100233,65,43,Scotland,free,8,289.65,0.033,44.0,0.275,3,0
100234,49,59,London,premium,6,38.38,0.115,,0.781,2,0
100235,63,55,London,free,7,30.26,0.155,13.0,-0.246,4,0
100236,59,69,Wales,free,8,79.45,0.183,62.0,0.471,0,0
100237,45,3,Scotland,free,7,111.63,0.147,86.0,,1,1
100238,37,29,London,basic,11,21.2,0.129,62.0,0.623,0,0
100239,57,36,South,basic,6,71.75,0.207,13.0,0.233,1,0
100240,26,50,South,free,9,24.12,0.078,9.0,,1,0
100241,54,45,Wales,basic,8,21.15,0.278,40.0,,1,0
100242,23,40,North,basic,5,46.74,0.167,27.0,0.884,0,0
100243,58,22,South,free,4,34.31,0.066,38.0,0.15,1,0
100244,57,7,London,basic,8,22.14,0.022,12.0,0.282,0,0
100245,23,31,Wales,basic,4,30.09,0.151,1.0,0.25,1,0
100246,65,18,Wales,free,7,37.95,0.16,5.0,-0.271,1,0
100247,44,40,London,premium,12,84.3,0.325,34.0,,0,0
100248,67,58,Scotland,free,5,27.46,0.165,10.0,-0.197,1,0
100249,20,40,Scotland,free,9,57.43,0.074,17.0,0.357,2,0
100250,29,42,Ireland,basic,5,15.02,0.5,85.0,0.072,2,1
100251,49,3,North,free,5,46.82,0.089,11.0,0.047,2,1
100252,29,47,Ireland,premium,1,91.27,0.026,,,0,0
100253,38,32,London,premium,5,39.07,0.025,0.0,-0.145,0,0
100254,59,9,Wales,free,3,79.38,0.046,22.0,,2,0
100255,27,15,South,free,6,14.26,0.36,24.0,0.45,0,0
100256,60,56,London,free,7,25.0,0.155,41.0,0.207,1,0
100257,24,66,South,free,13,80.91,0.178,9.0,,0,0
100258,29,37,London,basic,5,84.95,0.138,34.0,,1,0
100259,55,71,Scotland,free,6,201.94,0.254,89.0,0.227,0,0
100260,67,13,London,basic,2,89.44,0.122,2.0,0.17,2,0
100261,28,21,North,free,7,122.88,0.048,42.0,0.309,3,0
100262,36,67,South,free,9,27.9,0.138,30.0,,2,0
100263,76,12,Wales,basic,5,54.41,0.111,,-0.045,1,0
100264,80,48,South,free,10,20.78,0.1,21.0,-0.262,2,0
100265,54,16,Scotland,basic,3,116.76,0.061,17.0,-0.004,2,0
100266,46,24,South,basic,2,44.56,0.165,,0.855,2,0
100267,39,34,London,premium,4,76.67,0.117,11.0,0.041,1,0
100268,56,26,South,free,8,10.93,0.094,59.0,,1,0
100269,55,63,North,free,3,9.37,0.088,25.0,-0.315,2,0
100270,36,71,London,free,4,187.48,0.158,13.0,-0.132,1,0
100271,19,36,Scotland,free,5,500.0,0.245,11.0,0.08,2,0
100272,27,38,London,free,10,69.91,0.055,0.0,0.38,1,0
100273,78,4,Ireland,basic,12,161.41,0.07,23.0,0.322,1,0
100274,44,17,London,free,12,32.62,0.066,10.0,0.401,1,0
100275,48,2,North,free,5,18.13,0.127,3.0,0.536,3,0
100276,47,62,Scotland,premium,6,173.44,0.065,47.0,0.396,3,0
100277,67,16,Scotland,basic,8,49.7,0.128,25.0,0.459,2,0
100278,22,24,Wales,premium,5,47.05,0.122,6.0,1.0,2,0
100279,23,61,London,free,6,175.03,0.018,0.0,,4,0
100280,35,52,London,free,3,42.87,0.077,13.0,0.17,3,0
100281,48,45,London,premium,5,23.93,0.088,42.0,0.153,2,0
100282,60,2,North,basic,6,20.68,0.031,23.0,0.001,1,0
100283,48,41,London,free,4,54.45,0.019,33.0,,0,0
100284,45,40,South,premium,7,100.54,0.146,21.0,,3,0
100285,77,23,London,basic,6,44.63,0.349,9.0,1.0,0,0
100286,28,54,London,free,3,50.44,0.08,30.0,,3,0
100287,54,67,South,basic,7,31.67,0.096,57.0,0.437,2,0
100288,52,18,North,basic,9,38.01,0.06,22.0,0.188,1,0
100289,47,24,South,basic,6,164.0,0.034,11.0,0.13,1,0
100290,68,23,Ireland,free,5,49.57,0.003,102.0,0.265,2,0
100291,34,60,North,basic,5,31.73,0.062,,,0,0
100292,78,5,Scotland,free,7,172.47,0.088,8.0,,1,0
100293,38,65,London,free,7,44.81,0.074,39.0,0.227,4,0
100294,52,56,South,basic,4,48.22,0.055,29.0,0.406,2,0
100295,50,35,London,basic,9,45.52,0.095,94.0,0.391,3,1
100296,71,42,London,premium,6,17.43,0.291,,-0.167,3,0
100297,45,65,South,premium,5,40.49,0.086,3.0,0.376,0,0
100298,35,56,London,free,5,62.73,0.035,125.0,-0.163,0,0
100299,19,20,North,basic,6,40.23,0.29,17.0,-0.875,0,1
100300,40,3,London,basic,6,107.86,0.073,92.0,-0.47,2,1
100301,70,48,North,premium,5,26.88,0.105,3.0,-0.442,0,0
100302,18,10,Scotland,basic,8,66.03,0.153,5.0,0.721,0,0
100303,74,6,South,free,11,37.64,0.086,2.0,0.196,0,0
100304,52,71,Wales,basic,4,104.14,0.035,15.0,-0.453,1,0
100305,26,34,Wales,free,6,157.8,0.176,26.0,0.442,0,0
100306,37,47,Wales,free,4,127.14,0.157,27.0,0.478,5,0
100307,52,15,London,basic,4,56.89,0.026,48.0,0.377,1,0
100308,37,7,Wales,free,9,52.76,0.163,13.0,0.174,2,0
100309,24,4,South,basic,9,50.31,0.407,4.0,0.286,1,1
100310,59,25,London,free,1,25.44,0.306,7.0,-0.164,0,0
100311,60,0,South,free,3,101.45,0.143,7.0,0.333,1,0
100312,25,30,Wales,free,3,12.21,0.062,2.0,,3,0
100313,35,23,Scotland,free,9,40.9,0.021,34.0,-0.538,2,0
100314,33,38,London,free,5,167.21,0.282,8.0,,2,0
100315,59,43,North,free,7,17.21,0.422,31.0,0.148,0,0
100316,64,22,London,basic,6,75.5,0.028,38.0,,1,0
100317,63,33,Wales,premium,6,91.81,0.053,84.0,0.037,0,0
100318,77,5,North,premium,12,36.17,0.134,3.0,,1,0
100319,66,22,London,basic,4,25.93,0.186,11.0,-0.47,2,0
100320,38,71,Scotland,free,2,16.6,0.107,14.0,0.557,1,0
100321,24,72,London,premium,3,38.74,0.141,9.0,0.294,0,0
100322,56,35,North,premium,6,31.05,0.108,11.0,-0.037,2,0
100323,75,68,Ireland,basic,3,19.57,0.019,33.0,0.488,2,0
100324,79,36,London,premium,5,107.73,0.282,71.0,0.689,1,0
100325,32,9,North,free,7,29.32,0.018,,-0.233,0,0
100326,32,63,London,free,8,73.91,0.326,30.0,,1,0
100327,20,30,London,basic,6,29.29,0.004,39.0,0.467,0,0
100328,26,44,South,free,6,78.14,0.403,36.0,0.423,1,0
100329,52,47,London,premium,8,62.14,0.043,5.0,0.671,1,0
100330,52,22,London,basic,7,111.04,0.163,122.0,0.967,1,0
100331,41,53,South,free,4,17.57,0.019,50.0,0.43,4,0
100332,37,36,South,free,5,31.48,0.036,46.0,0.413,1,0
100333,70,26,Ireland,basic,7,102.51,0.191,2.0,0.052,0,0
100334,46,21,South,basic,6,34.12,0.078,67.0,-0.031,2,0
100335,68,54,London,free,8,40.89,0.021,16.0,0.47,3,0
100336,78,18,London,basic,7,78.81,0.082,10.0,-0.074,1,0
100337,37,9,London,free,5,43.63,0.161,7.0,0.636,0,1
100338,30,64,South,basic,1,58.08,0.21,16.0,-0.038,3,0
100339,78,24,London,premium,5,49.4,0.206,9.0,0.865,0,0
100340,57,46,London,free,7,42.45,0.207,43.0,0.393,0,0
100341,36,52,South,basic,5,20.51,0.063,13.0,0.138,2,0
100342,57,61,North,premium,4,38.78,0.065,4.0,-0.264,0,0
100343,50,45,South,free,11,78.53,0.031,12.0,,1,0
100344,75,51,South,free,5,43.01,0.231,21.0,0.368,1,0
100345,34,61,London,free,5,75.91,0.078,8.0,0.662,2,0
100346,80,68,London,basic,5,42.77,0.011,46.0,-0.359,0,0
100347,76,3,North,free,6,75.49,0.228,31.0,,0,0
100348,29,54,Wales,premium,4,34.92,0.189,3.0,0.341,4,0
100349,28,12,Scotland,free,7,23.77,0.021,63.0,,2,0
100350,51,65,Wales,basic,9,98.69,0.147,18.0,0.454,0,0
100351,20,3,Ireland,free,4,24.91,0.5,16.0,0.431,0,0
100352,36,18,North,free,4,33.1,0.012,32.0,0.273,1,0
100353,45,14,Scotland,basic,3,54.13,0.025,27.0,0.309,2,0
100354,79,44,North,free,10,15.22,0.125,,0.087,1,0
100355,80,0,London,premium,5,35.99,0.017,,-0.064,3,1
100356,27,1,North,free,8,33.91,0.149,101.0,,1,0
100357,74,36,London,free,5,44.45,0.06,6.0,-0.088,2,0
100358,23,70,London,basic,4,45.46,0.037,22.0,0.006,0,0
100359,65,38,South,basic,6,38.57,0.055,,,3,1
100360,71,32,South,free,5,47.58,0.182,84.0,-0.16,0,0
100361,74,48,London,free,3,149.34,0.093,11.0,0.127,0,0
100362,32,40,Scotland,basic,5,277.73,0.253,108.0,-0.335,1,1
100363,74,28,Wales,basic,8,76.41,0.046,26.0,0.07,0,0
100364,25,42,London,free,5,42.8,0.197,0.0,0.626,1,0
100365,50,0,South,premium,7,28.55,0.322,8.0,0.178,2,0
100366,47,17,London,free,7,32.04,0.165,43.0,-0.22,3,1
100367,37,49,London,free,8,45.5,0.145,5.0,0.105,2,0
100368,19,24,London,free,6,118.61,0.14,,0.064,2,0
100369,66,3,South,free,5,26.14,0.068,37.0,-0.009,2,1
100370,39,9,London,free,12,68.95,0.038,18.0,0.302,0,0
100371,59,63,London,free,9,37.2,0.199,69.0,0.02,1,0
100372,43,24,North,basic,4,105.06,0.136,22.0,0.214,2,0
100373,41,1,London,basic,12,41.18,0.165,29.0,-0.112,1,0
100374,73,53,Scotland,basic,6,31.49,0.184,60.0,0.421,2,0
100375,23,38,Ireland,free,4,32.98,0.029,88.0,,0,0
100376,64,32,South,basic,6,180.49,0.155,17.0,0.011,2,1
100377,65,65,North,free,5,51.73,0.094,13.0,,3,0
100378,41,22,South,basic,7,114.73,0.13,23.0,0.25,0,0
100379,34,41,South,premium,5,68.16,0.104,,0.18,0,0
100380,18,54,Scotland,premium,7,81.65,0.027,148.0,0.354,0,0
100381,77,44,London,free,4,41.06,0.047,47.0,0.465,0,0
100382,77,15,Ireland,premium,3,49.31,0.112,133.0,-0.331,0,0
100383,33,49,South,free,4,25.42,0.063,23.0,0.281,2,0
100384,20,54,Scotland,free,11,26.36,0.094,86.0,0.237,2,0
100385,25,8,North,premium,7,45.16,0.444,1.0,0.694,0,0
100386,22,12,London,free,5,42.0,0.107,39.0,,0,0
100387,70,49,South,basic,6,48.11,0.223,17.0,-0.136,0,0
100388,74,8,North,free,2,91.36,0.068,15.0,0.658,1,0
100389,27,64,London,free,6,194.96,0.438,53.0,0.601,1,1
100390,65,7,South,premium,9,26.59,0.054,4.0,,1,0
100391,29,71,South,premium,5,69.35,0.069,,,2,0
100392,41,49,Scotland,basic,5,35.19,0.05,17.0,-0.13,3,1
100393,55,32,London,basic,8,16.66,0.365,1.0,-0.153,1,1
100394,63,19,South,free,4,277.31,0.155,16.0,,0,0
100395,73,25,Wales,free,5,50.5,0.039,2.0,0.134,2,0
100396,20,54,North,free,3,40.71,0.105,11.0,-0.253,2,0
100397,30,54,Ireland,basic,7,99.1,0.068,13.0,0.116,1,0
100398,35,15,South,premium,7,285.99,0.214,7.0,,1,0
100399,37,39,Ireland,basic,5,65.8,0.095,37.0,,1,0
100400,80,72,London,premium,5,314.1,0.003,0.0,0.394,2,0
100401,66,18,London,premium,7,52.6,0.037,44.0,-0.438,1,0
100402,38,50,Ireland,basic,6,108.65,0.064,1.0,,2,0
100403,79,12,Scotland,premium,6,30.26,0.231,8.0,0.105,0,0
100404,49,60,Scotland,free,4,30.52,0.098,5.0,,1,0
100405,49,12,Scotland,free,4,66.3,0.212,33.0,0.176,0,1
100406,45,21,London,free,7,135.14,0.03,44.0,,0,0
100407,27,33,Scotland,basic,6,37.78,0.092,2.0,0.03,0,0
100408,76,27,North,free,4,103.07,0.133,24.0,,1,0
100409,18,12,London,free,8,70.05,0.21,2.0,,3,0
100410,28,46,London,free,4,44.42,0.067,6.0,0.172,0,0
100411,32,1,South,free,4,89.61,0.16,25.0,0.03,0,0
